"CODICE_AIC";"COD_FARMACO";"COD_CONFEZIONE";"DENOMINAZIONE";"DESCRIZIONE";"CODICE_DITTA";"RAGIONE_SOCIALE";"STATO_AMMINISTRATIVO";"TIPO_PROCEDURA";"FORMA";"CODICE_ATC";"PA_ASSOCIATI";"FORNITURA";"LINK_FI";"LINK_RCP"
"000367045";"000367";"045";"TISANA KELEMATA";"10 BUSTINE FILTRO G 2";2934;"KELEMATA S.R.L.";"Autorizzata";"Procedura Nazionale";"Tisana";"A06AB06";"SENNA FOGLIA";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=RCP"
"000367058";"000367";"058";"TISANA KELEMATA";"POLVERE PER TISANA-SCATOLA 80 G";2934;"KELEMATA S.R.L.";"Autorizzata";"Procedura Nazionale";"Tisana";"A06AB06";"SENNA FOGLIA";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=RCP"
"000367060";"000367";"060";"TISANA KELEMATA";"POLVERE PER TISANA- SCATOLA 100 G";2934;"KELEMATA S.R.L.";"Autorizzata";"Procedura Nazionale";"Tisana";"A06AB06";"SENNA FOGLIA";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=RCP"
"000367072";"000367";"072";"TISANA KELEMATA";"1,3 G TISANA-20 BUSTINE";2934;"KELEMATA S.R.L.";"Autorizzata";"Procedura Nazionale";"Tisana";"A06AB06";"SENNA FOGLIA";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=RCP"
"000367108";"000367";"108";"TISANA KELEMATA";"16 MG COMPRESSE RIVESTITE- 40 COMPRESSE";2934;"KELEMATA S.R.L.";"Autorizzata";"Procedura Nazionale";"Compressa rivestita";"A06AB06";"SENNA ESTRATTO SECCO";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2934/farmaci/367/stampati'ts=RCP"
"000527034";"000527";"034";"MAGNESIA EFFERVESCENTE SELLA";"FLACONE 115 G";3399;"LABORATORIO CHIMICO FARMACEUTICO A. SELLA S.R.L.";"Autorizzata";"Procedura Nazionale";"Polvere effervescente";"A02AA04";"MAGNESIO IDROSSIDO";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3399/farmaci/527/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3399/farmaci/527/stampati'ts=RCP"
"000527061";"000527";"061";"MAGNESIA EFFERVESCENTE SELLA";"MENTA-POLVERE EFF. FLAC.115 G";3399;"LABORATORIO CHIMICO FARMACEUTICO A. SELLA S.R.L.";"Autorizzata";"Procedura Nazionale";"Polvere effervescente";"A02AA04";"MAGNESIO IDROSSIDO";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3399/farmaci/527/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3399/farmaci/527/stampati'ts=RCP"
"000590012";"000590";"012";"RINAZINA";"1 MG/ML GOCCE NASALI, SOLUZIONE- FLACONE 10 ML";1136;"HALEON ITALY S.R.L.";"Autorizzata";"Procedura Nazionale";"Gocce nasali, soluzione";"R01AA08";"NAFAZOLINA NITRATO";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1136/farmaci/590/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1136/farmaci/590/stampati'ts=RCP"
"000590051";"000590";"051";"RINAZINA";"1 MG/ML SPRAY NASALE, SOLUZIONE- FLACONE 15ML";1136;"HALEON ITALY S.R.L.";"Autorizzata";"Procedura Nazionale";"Spray nasale, soluzione";"R01AA08";"NAFAZOLINA NITRATO";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1136/farmaci/590/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1136/farmaci/590/stampati'ts=RCP"
"000917017";"000917";"017";"PAF";"50% SOLUZIONE CUTANEA- FLACONE 5 G";269;"LOFARMA S.P.A.";"Autorizzata";"Procedura Nazionale";"Soluzione cutanea";"P03AX99";"BISBUTILCARBOETILENE";"Medicinali non soggetti a prescrizione medica ma non da banco";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/269/farmaci/917/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/269/farmaci/917/stampati'ts=RCP"
"001328020";"001328";"020";"BEPAMEDIN";"500 MG/2 ML SOLUZIONE INIETTABILE- 3 FIALE 2 ML";22;"BAYER S.P.A.";"Autorizzata";"Procedura Nazionale";"Soluzione iniettabile";"A11HA30";"DEXPANTENOLO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/22/farmaci/1328/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/22/farmaci/1328/stampati'ts=RCP"
"001328032";"001328";"032";"BEPAMEDIN";"500 MG/2 ML SOLUZIONE INIETTABILE- 20 FIALE 2 ML";22;"BAYER S.P.A.";"Autorizzata";"Procedura Nazionale";"Soluzione iniettabile";"A11HA30";"DEXPANTENOLO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/22/farmaci/1328/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/22/farmaci/1328/stampati'ts=RCP"
"001340025";"001340";"025";"BENADON";"300 MG COMPRESSE GASTRORESISTENTI- 10 COMPRESSE";7046;"TEOFARMA S.R.L.";"Autorizzata";"Procedura Nazionale";"Compressa gastroresistente";"A11HA02";"PIRIDOSSINA CLORIDRATO";"Medicinali non soggetti a prescrizione medica ma non da banco";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/1340/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/1340/stampati'ts=RCP"
"001578018";"001578";"018";"EURAX";" 10% CREMA - TUBO 20 G";1561;"EG S.P.A.";"Autorizzata";"Procedura Nazionale";"Crema";"D04AX";"CROTAMITONE";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/1578/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/1578/stampati'ts=RCP"
"001740063";"001740";"063";"ALLERGAN";"2 G/100 G CREMA- TUBO 30 G";7166;"IBSA FARMACEUTICI ITALIA S.R.L.";"Autorizzata";"Procedura Nazionale";"Crema";"D04AA32";"DIFENIDRAMINA CLORIDRATO";"Medicinali non soggetti a prescrizione medica, da banco.";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/1740/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/1740/stampati'ts=RCP"
"002039055";"002039";"055";"AUREOMICINA";"3% UNGUENTO- TUBO 14,2 G";8627;"Viatris Healthcare Limited";"Autorizzata";"Procedura Nazionale";"UNGUENTO";"D06AA02";"CLORTETRACICLINA CLORIDRATO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8627/farmaci/2039/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8627/farmaci/2039/stampati'ts=RCP"
"002129017";"002129";"017";"DINTOINA";"100 MG COMPRESSE RIVESTITE- 30 COMPRESSE";143;"LABORATORIO FARMACEUTICO SIT SPECIALITA IGIENICO TERAPEUTICHE S.R.L.";"Autorizzata";"Procedura Nazionale";"Compressa rivestita";"N03AB02";"FENITOINA SODICA";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/143/farmaci/2129/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/143/farmaci/2129/stampati'ts=RCP"
"002177018";"002177";"018";"PENSULVIT SIFI";"1% + 5% UNGUENTO  OFTALMICO- 1 TUBO DA 6,5 G";1024;"SIFI S.P.A.";"Autorizzata";"Procedura Nazionale";"Unguento oftalmico";"S01AA30";"TETRACICLINA/SULFAMETILTIAZOLO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1024/farmaci/2177/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1024/farmaci/2177/stampati'ts=RCP"
"002309033";"002309";"033";"FOLINA";"15 MG/2 ML SOLUZIONE INIETTABILE- 5 FIALE DA 2 ML";7046;"TEOFARMA S.R.L.";"Autorizzata";"Procedura Nazionale";"Soluzione iniettabile";"B03BB01";"ACIDO FOLICO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=RCP"
"002309045";"002309";"045";"FOLINA";"5 MG CAPSULE MOLLI- 20 CAPSULE";7046;"TEOFARMA S.R.L.";"Autorizzata";"Procedura Nazionale";"Capsula molle";"B03BB01";"ACIDO FOLICO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=RCP"
"002309058";"002309";"058";"FOLINA";"5 MG CAPSULE MOLLI- 60 CAPSULE";7046;"TEOFARMA S.R.L.";"Autorizzata";"Procedura Nazionale";"Capsula molle";"B03BB01";"ACIDO FOLICO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=RCP"
"002309060";"002309";"060";"FOLINA";"5 MG CAPSULE MOLLI- 28 CAPSULE IN BLISTER PVC";7046;"TEOFARMA S.R.L.";"Autorizzata";"Procedura Nazionale";"Capsula molle";"B03BB01";"ACIDO FOLICO";"Medicinali soggetti a prescrizione medica";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=FI";"https//api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7046/farmaci/2309/stampati'ts=RCP"
