id,country_id,ripartizione_geografica,codice_regione,name,tipologia_regione,numero_province,numero_comuni,superficie_kmq
1,152,Nord-ovest,01,Piemonte,statuto ordinario,8,1180,25391.7034
2,152,Nord-ovest,02,"Valle d'Aosta/Vallée d'Aoste",statuto speciale,1,74,3260.5014
3,152,Nord-ovest,03,Lombardia,statuto ordinario,12,1501,23861.1519
4,152,Nord-est,04,"Trentino-Alto Adige/Südtirol",statuto speciale,2,282,13607.7563
5,152,Nord-est,05,Veneto,statuto ordinario,7,560,18354.2207
6,152,Nord-est,06,Friuli-Venezia Giulia,statuto speciale,4,215,7933.1665
7,152,Nord-ovest,07,Liguria,statuto ordinario,4,234,5419.4520
8,152,Nord-est,08,Emilia-Romagna,statuto ordinario,9,330,22501.2671
9,152,Centro,09,Toscana,statuto ordinario,10,273,22989.9040
10,152,Centro,10,Umbria,statuto ordinario,2,92,8464.3584
11,152,Centro,11,Marche,statuto ordinario,5,225,9345.8919
12,152,Centro,12,Lazio,statuto ordinario,5,378,17236.2082
13,152,Sud,13,Abruzzo,statuto ordinario,4,305,10831.3399
14,152,Sud,14,Molise,statuto ordinario,2,136,4461.3591
15,152,Sud,15,Campania,statuto ordinario,5,550,13675.3313
16,152,Sud,16,Puglia,statuto ordinario,6,257,19538.4463
17,152,Sud,17,Basilicata,statuto ordinario,2,131,10073.9127
18,152,Sud,18,Calabria,statuto ordinario,5,404,15217.0982
19,152,Isole,19,Sicilia,statuto speciale,9,391,25832.4612
20,152,Isole,20,Sardegna,statuto speciale,8,377,24109.9204
